roll,pitch,yaw,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
-1.6196328853449296,-2.6417840387246723,179.4173239485081,698,1427,16642,-1,-1,1,49.875,199.625,-873.5
-2.5610037172929188,-4.091925045252215,178.93176615287234,731,1450,16703,-1,-1,1,50.125,202.625,-875.25
-3.106840172416628,-4.923444639318984,178.48516251895273,705,1444,16729,-1,1,2,46.375,203.375,-873.875
-3.3712623861685413,-5.3633654289499235,178.0534743966678,706,1437,16739,-1,-1,2,50.75,200.125,-871.375
-3.4813714807828977,-5.6577038953413945,177.62723660392933,717,1466,16730,-1,-1,2,47.375,200.625,-874.25
-3.5778783326332975,-5.876201718382305,177.1822299437333,713,1460,16745,-1,0,1,49.375,204.875,-874.625
-3.6306931470100547,-6.029928511637504,176.72692266347795,719,1460,16745,1,-3,2,52.875,206.875,-874.125
-3.6142890037022473,-6.085868251502576,176.2815760603154,698,1447,16758,0,1,1,52.125,204.5,-876.625
-3.5971591552777493,-6.162093893768043,175.8304726637101,720,1460,16761,-1,0,2,52.125,206.25,-876.0
-3.597506336678195,-6.262049138576069,175.37720285333845,734,1443,16744,1,-1,1,48.5,207.125,-872.0
-3.5541367439669362,-6.315893389728444,174.9248392338476,734,1457,16758,0,0,2,50.0,206.875,-874.625
-3.50617510125743,-6.3356458128204585,174.47246542077747,720,1440,16766,0,-1,1,51.25,204.875,-869.625
-3.4083773075281556,-6.316541830346472,174.03692146332932,715,1435,16755,1,0,2,50.0,201.125,-871.625
-3.350230429686355,-6.317811270040673,173.585358240091,718,1436,16749,-1,1,0,54.625,204.625,-877.25
-3.2774510928391365,-6.355265843304308,173.1525654377759,725,1446,16749,-1,-2,2,45.625,202.125,-874.375
-3.2455848273318373,-6.39641452485203,172.70208522815483,714,1446,16778,0,-2,1,49.375,205.625,-874.875
-3.167845183204066,-6.394720750851432,172.2608339802309,711,1447,16747,-2,-3,2,50.75,202.625,-874.5
-3.0831987317838725,-6.391129881172389,171.81575260014444,719,1455,16754,1,-1,2,53.375,201.75,-871.25
-3.01564700237323,-6.427598075476224,171.3722289464372,718,1470,16741,-1,-4,2,49.0,203.375,-875.75
-2.9797797626838074,-6.470130906018542,170.91976630352332,721,1457,16766,0,0,0,49.375,204.875,-874.75
-2.9465566658177647,-6.502378336399861,170.46881711129623,710,1450,16755,0,-1,2,49.375,205.875,-876.125
-2.892371251723996,-6.51399510613282,170.02456652865223,717,1441,16745,-2,0,2,49.125,202.75,-870.125
-2.8382075187274323,-6.531934669214628,169.58425683926984,711,1441,16754,-1,0,2,46.5,203.25,-873.5
-2.7599933830757335,-6.535223941388006,169.13678558909442,707,1463,16749,0,0,0,48.875,203.125,-872.75
-2.706063943338686,-6.528768455754961,168.68957752432672,702,1434,16751,0,-1,1,52.125,203.375,-873.125
-2.652896481580747,-6.5671912130160255,168.2422116917075,715,1459,16765,0,-1,1,47.375,204.125,-872.5
-2.563693662696165,-6.567712876465542,167.8013287431731,722,1458,16760,1,0,1,49.75,202.375,-875.75
-2.5329414489051114,-6.598761418849885,167.34992590290827,711,1446,16747,-1,1,1,49.5,205.5,-875.0
-2.453535233396789,-6.578298653674943,166.90626521353335,703,1450,16765,0,-1,2,52.875,203.0,-874.5
-2.392304180979525,-6.581304287809592,166.46458429835087,710,1435,16746,-1,-2,0,50.75,201.875,-872.125
-2.342360755890364,-6.5900765595643485,166.022241053108,702,1436,16740,0,0,2,50.625,203.375,-873.5
-2.296851715844435,-6.613610188851381,165.57494488252888,703,1443,16760,1,1,0,49.125,204.625,-874.625
-2.2173603582289236,-6.585374766007727,165.140047003279,704,1423,16751,-1,-2,1,53.375,201.375,-874.75
-2.204549323981042,-6.629369203833203,164.6889771844762,710,1422,16755,-1,-1,1,51.5,205.625,-870.875
-2.11988852218896,-6.614531990869171,164.2511703805856,696,1438,16733,0,0,0,50.25,201.875,-871.875
-2.0578039494436116,-6.595151294993991,163.81612312296542,678,1425,16753,-2,-1,1,50.625,201.625,-870.875
-1.9854219945690297,-6.585320807174044,163.38635023016454,687,1425,16744,0,-1,1,49.75,201.0,-873.125
-1.9533541651697013,-6.641680129946761,162.94024945148885,709,1437,16745,0,-1,0,48.875,204.5,-870.0
-1.8566820942171411,-6.626010776613332,162.5099208579502,704,1444,16745,0,0,1,50.75,201.0,-873.0
-1.8282074401813022,-6.653186613005284,162.07017010727205,693,1419,16736,0,0,0,48.75,203.875,-872.0
-1.7738392492596937,-6.6576772390094305,161.62774341134954,700,1423,16731,1,-1,0,53.375,204.875,-873.625
-1.6915360365094978,-6.667223370492091,161.19557485232346,703,1451,16740,0,0,1,48.125,201.875,-870.625
-1.6061994865955982,-6.6512956504205984,160.77035805700825,712,1432,16749,0,0,2,52.0,200.75,-871.875
-1.5844720003097466,-6.692200400146904,160.33654955743086,705,1422,16738,-3,-1,2,48.0,203.875,-871.75
-1.5331821502660965,-6.6884388571216125,159.9022720142665,681,1427,16721,-1,0,1,49.75,204.5,-874.5
-1.4692438002714763,-6.668672925785444,159.47980824441765,696,1401,16718,-1,-1,0,50.25,201.375,-873.125
-1.4319888890319046,-6.683134821982044,159.0483847966185,688,1414,16720,-1,0,2,49.5,204.125,-870.25
-1.370371517316428,-6.6801399046719645,158.62706752377764,691,1409,16742,1,-1,1,47.875,202.375,-873.5
-1.3050567707997505,-6.701382941710436,158.19463598763062,710,1437,16727,-1,-1,1,50.75,205.25,-874.5
-1.237115052249762,-6.696239431501488,157.7729075059857,710,1418,16746,-1,1,1,49.875,202.0,-870.125
-1.1410347445009865,-6.680273355369877,157.34872422789985,696,1453,16730,0,0,1,51.125,203.0,-874.0
-1.0551269897918938,-6.6629492861290185,156.93643684692807,708,1430,16739,0,0,1,50.125,200.125,-873.375
-1.0268393961366173,-6.684504813445841,156.50851192196714,701,1417,16736,1,1,2,52.125,205.625,-874.25
-0.9703548255328018,-6.691203522254971,156.0866776213454,707,1430,16749,-1,0,2,51.5,204.25,-873.875
-0.893077660941985,-6.698856008797378,155.66601956574272,700,1450,16743,2,-1,0,47.875,201.625,-868.0
-0.8057266286816874,-6.678637864376247,155.25920042075597,704,1444,16752,-1,0,2,48.75,200.0,-872.5
-0.7369146350844369,-6.664338745278171,154.8433050272121,692,1448,16760,-1,0,1,51.375,202.625,-873.75
-0.6812201784644525,-6.683773221628028,154.4312978608734,705,1445,16750,0,-2,2,47.875,201.75,-871.75
-0.6530376427097367,-6.727409028775287,154.00131184979847,706,1447,16754,0,-2,0,49.625,206.25,-870.875
-0.5918522109939337,-6.717098740356853,153.59050011648037,704,1436,16763,-1,-2,2,49.75,202.75,-870.5
-0.5313478847928966,-6.700625250532667,153.17999918763417,702,1430,16740,0,1,1,50.5,203.875,-875.0
-0.4445371931294687,-6.66536958026781,152.7821941344236,712,1431,16742,0,-1,2,51.625,200.125,-870.0
-0.41576786209180167,-6.694319953193472,152.37037447289677,706,1426,16751,0,-1,0,47.125,203.5,-871.5
-0.37743399001322014,-6.710936048273371,151.96016872184532,703,1432,16747,-2,-1,1,47.0,203.75,-870.0
-0.31140126865119183,-6.715120876029781,151.5458809368979,716,1448,16758,0,-1,-1,50.125,205.0,-871.0
-0.2490280631572223,-6.684521133099363,151.14131569751933,687,1435,16773,0,-1,1,50.25,204.375,-872.75
-0.19385477518148816,-6.68740705189224,150.73983380910786,694,1436,16740,1,-1,0,45.0,203.0,-873.75
-0.10820003327963373,-6.652937503938261,150.3457037342023,704,1447,16746,-2,0,1,50.0,202.375,-873.875
-0.048832255973324,-6.628482873044161,149.95102296252443,686,1434,16748,-1,-2,1,49.5,203.0,-873.75
0.002883661667226061,-6.64271159007492,149.55243546339577,710,1440,16749,2,-1,2,49.125,204.5,-872.375
0.07007965958946347,-6.617920792820841,149.1565162253328,695,1442,16734,-1,-1,0,51.125,203.625,-871.25
0.11919511050835499,-6.6176515065122175,148.76169551840565,706,1436,16752,-1,-1,1,50.25,204.75,-873.625
0.16921095908803738,-6.6202129057624575,148.36803370491683,713,1437,16751,-2,0,0,49.25,204.375,-873.125
0.2434120965907081,-6.579516949471544,147.98247438257738,688,1445,16739,-1,0,2,51.5,204.375,-875.375
0.2858482034672834,-6.585968436281039,147.59701864981332,705,1430,16746,0,-1,2,48.125,203.75,-872.625
0.34358604229523726,-6.573071267204443,147.21230992833205,709,1433,16733,-1,-1,1,51.125,204.75,-873.875
0.4130823346558745,-6.551445398128757,146.83643637751968,706,1439,16730,-1,-2,2,49.875,203.0,-874.625
0.4908198786006177,-6.511581815048618,146.46261849053872,697,1444,16735,-1,-2,1,51.875,202.625,-873.625
0.5459663041234487,-6.491082207238882,146.09618484496846,719,1424,16741,-2,1,2,50.875,200.875,-870.625
0.6210038255474947,-6.476907249639004,145.73540875240982,721,1444,16738,0,-1,2,48.25,199.0,-872.25
0.6658656836577245,-6.472758860688144,145.35942717889918,694,1447,16741,-1,0,0,49.125,203.0,-871.875
0.6950610221196237,-6.506835017753603,144.97694101972428,727,1446,16750,-2,0,1,50.625,207.0,-874.25
0.7437879075448777,-6.489970414176202,144.60690393603525,703,1434,16729,0,-1,1,49.875,204.5,-873.625
0.818837493059008,-6.461960350149299,144.24274587469404,720,1451,16755,-1,-1,0,51.25,202.625,-871.0
0.8665443910512529,-6.461940209230705,143.8772439382378,716,1437,16737,3,-1,1,49.0,203.875,-873.0
0.9031116749769098,-6.4771622689196,143.50445506914792,711,1449,16738,0,-1,1,48.25,206.375,-873.75
0.9685622204138602,-6.440624764783411,143.14884136277757,696,1449,16739,0,-2,2,47.875,202.0,-870.125
1.0525014586973216,-6.3632288309479295,142.80464699452673,698,1440,16740,-1,-2,1,53.375,201.25,-871.875
1.1032054019116826,-6.343070658000659,142.45129235661514,701,1444,16725,-1,0,0,50.0,202.375,-872.5
1.133823383784432,-6.330719814723367,142.09545760526058,688,1437,16734,-2,1,0,48.75,203.375,-871.875
1.1540996356082962,-6.337801477173872,141.74292216778198,701,1419,16749,1,-2,1,47.75,203.5,-870.375
1.208574804211069,-6.3113448178655265,141.39654318544734,700,1436,16739,0,-1,1,50.0,203.75,-872.5
1.236264269044043,-6.320266464822227,141.04100076727656,709,1433,16754,-1,0,1,50.0,207.25,-873.125
1.2869404182579056,-6.323443966115998,140.69363085117584,719,1446,16760,0,-1,1,47.625,205.375,-876.0
1.3606808992551502,-6.26167533190341,140.36228541073785,699,1441,16756,-1,-1,2,51.0,203.0,-873.625
1.407180656357086,-6.21742626939172,140.03124679323696,695,1421,16746,-1,0,0,49.5,202.25,-874.375
1.4651435635194985,-6.180508332965278,139.70168083390516,697,1436,16744,-1,-1,0,49.625,201.25,-870.375
1.489786519862632,-6.195973199909954,139.3655310671057,711,1431,16771,-1,-2,2,48.25,204.375,-871.75
1.528545405154428,-6.182568755511355,139.0335681113996,695,1433,16751,-1,-2,1,47.875,204.375,-875.25
1.582480538681304,-6.112688179052044,138.71784963138546,671,1418,16741,0,-1,2,49.375,200.5,-868.375
1.5749078244967887,-6.179243663904793,138.3693944138719,700,1424,16741,0,-2,0,44.125,207.75,-872.625
1.6240348351629388,-6.18580835945009,138.03666225302712,713,1453,16771,-2,0,1,45.125,205.25,-872.0
1.694988417877645,-6.157506269797707,137.71376078674646,729,1449,16751,-1,0,1,50.375,206.25,-873.5
1.7738822286422695,-6.073579062427531,137.410753002087,699,1433,16736,-1,-1,1,50.375,201.375,-874.75
1.8205223312859158,-6.026646861210177,137.10432083880997,693,1427,16748,-2,-2,2,49.75,202.25,-872.875
1.8608859699510867,-6.020950862223081,136.78858481300864,709,1437,16745,0,-1,0,48.625,203.875,-873.0
1.881879773021335,-6.028800941908492,136.47195648565076,709,1430,16750,-1,1,2,47.5,205.875,-874.625
1.938031347663613,-5.9692689337027565,136.17230488453424,687,1432,16736,-1,0,2,49.375,202.625,-873.125
1.96572144808383,-5.950943974169376,135.86259942243828,692,1422,16737,0,0,1,49.625,205.625,-871.75
2.0054348664273958,-5.944738753331913,135.55425302596447,698,1441,16767,1,-1,2,48.125,205.5,-872.375
2.044125601647776,-5.923527558093068,135.26153362599572,720,1420,16742,-2,-1,3,48.75,202.625,-870.75
2.1011354587912767,-5.909944971072754,134.95805381786244,714,1455,16755,-1,-2,1,50.375,206.25,-872.25
2.16025343405191,-5.825905751337116,134.67745365103713,679,1428,16750,-1,-1,2,50.875,201.625,-873.5
2.182182926584343,-5.825680830275942,134.3789309183277,691,1430,16739,0,-2,2,48.75,205.25,-871.0
2.2054177639244408,-5.809345197045737,134.0851555934386,694,1421,16750,-1,0,0,48.25,204.75,-874.625
2.2527756605163276,-5.782100965808325,133.80370990528337,705,1435,16760,-1,-1,2,47.875,202.375,-875.125
2.3287888311954124,-5.742303977115629,133.52411088641026,713,1459,16761,1,-1,0,50.375,202.375,-874.125
2.3562251387674014,-5.718613868305121,133.23943443371323,683,1436,16774,0,-1,1,48.625,204.0,-873.625
2.3942965105338216,-5.701703786979848,132.9562979246075,707,1439,16758,-1,-2,-1,50.125,203.875,-871.125
2.4229698439615555,-5.696652749906945,132.6732321720106,708,1438,16751,-1,0,0,48.625,204.75,-873.875
2.442112696294205,-5.699653428188065,132.39059251459665,703,1431,16744,0,-1,1,46.75,204.375,-870.75
2.4781281992840642,-5.6813407058074405,132.11513093591344,714,1432,16748,0,-2,1,49.625,205.5,-871.625
2.5325150747456506,-5.6537662441110275,131.84695779464337,716,1452,16742,-1,-1,2,48.75,203.625,-872.5
2.575584919857593,-5.59915374068538,131.58024705710443,690,1439,16753,-1,-1,1,51.625,205.75,-872.875
2.6364946640049856,-5.557747742015415,131.3207196666602,717,1453,16754,0,-1,0,51.125,202.625,-872.5
2.6672732278414166,-5.564128770906667,131.05528792677237,728,1450,16760,-1,-1,1,48.375,203.375,-872.5
2.7048768053090617,-5.5439823205119705,130.7973327408383,718,1447,16748,-1,-2,1,48.5,202.125,-871.875
2.754942744897044,-5.503803518791709,130.5413100467886,703,1464,16764,-1,-1,2,50.875,204.625,-873.875
2.8052070582839472,-5.452822740229573,130.2940174663479,709,1454,16758,-1,-2,1,52.25,202.875,-873.0
2.803377701175657,-5.441432361951672,130.03897157895656,702,1420,16760,0,2,1,48.75,203.625,-872.0
2.837977589649301,-5.401146292135452,129.79208710901122,692,1445,16754,-1,0,1,49.125,202.0,-872.625
2.8689520531486292,-5.3643466845383045,129.5504042576877,717,1433,16755,-3,0,0,52.25,203.0,-871.75
2.88655805790618,-5.332787540122485,129.31191483841027,707,1417,16752,0,1,1,50.625,202.625,-874.625
2.912360775855293,-5.318526055268032,129.0717687796529,709,1436,16749,-1,1,1,48.25,201.25,-873.0
2.9544478047865743,-5.301906333891079,128.829472783331,697,1462,16761,-1,-2,1,48.5,202.75,-874.625
2.9853194322600505,-5.272599206645364,128.597610685362,714,1433,16749,0,-1,2,51.875,204.0,-874.375
3.000379594167182,-5.270195489624316,128.3549786641565,698,1439,16759,0,-1,0,47.5,202.875,-871.375
3.041617373908822,-5.251411081862423,128.12130201832434,715,1452,16744,0,-2,1,50.5,204.625,-875.75
3.053848308228328,-5.223720709205888,127.88321349653036,684,1429,16749,1,0,1,50.625,206.25,-868.75
3.068570294999407,-5.208023258967408,127.6479424993184,694,1436,16767,-2,-1,0,48.375,205.0,-876.375
3.088604507533587,-5.191217939601844,127.41788118856827,695,1433,16735,-1,-2,1,47.5,203.125,-871.875
3.1269109213441846,-5.168206693574804,127.18969553538149,702,1452,16756,0,0,1,48.625,204.0,-871.25
3.158034282332642,-5.167107496525689,126.95653067536767,711,1460,16771,-1,0,0,47.75,205.125,-872.25
3.1833640145213304,-5.150585506211705,126.73835262378641,726,1436,16743,-1,0,2,48.25,202.875,-871.375
3.2229100124884114,-5.104315328827292,126.5206858850339,695,1451,16743,0,1,1,48.75,203.125,-870.875
3.250834117499192,-5.063785376527849,126.30860600668264,709,1433,16754,0,-1,1,51.375,204.5,-871.375
3.2972882973805904,-4.9838651593601275,126.11181091776123,700,1432,16744,0,-2,1,54.125,202.75,-874.0
3.317538695735388,-4.948829087536832,125.90881257980496,704,1428,16748,-1,0,1,51.5,202.0,-873.0
3.3182506445846593,-4.973280074989023,125.69358087079155,705,1437,16744,-2,-2,2,46.25,201.625,-871.0
3.3567436446285956,-4.91534991075256,125.49871295690808,709,1431,16746,0,0,1,53.75,204.125,-875.875
3.371674690213997,-4.895746583057839,125.30010287174233,712,1426,16754,-2,-2,2,51.875,204.0,-874.75
3.3937426318950696,-4.903635103115231,125.08426609667332,694,1457,16734,-1,-1,-1,47.875,204.5,-873.875
3.4301313648289,-4.8410800187036775,124.89636798741799,690,1436,16736,-1,-2,2,52.0,202.0,-873.625
3.4461465794452364,-4.833948347518242,124.69550648538466,704,1439,16730,-1,0,2,51.5,205.75,-871.625
3.4650722860143914,-4.7996209332464534,124.50761390247109,711,1421,16731,-1,-1,1,52.625,203.875,-875.75
3.472421698952368,-4.811115416622298,124.30792232632903,713,1431,16742,0,-1,1,49.125,204.25,-872.625
3.505313894915811,-4.747573036852046,124.12925990972806,706,1424,16744,-1,0,0,52.875,201.75,-873.0
3.5300021034414515,-4.736407395046613,123.93872847901633,702,1443,16752,1,-1,1,49.875,202.75,-872.375
3.564227288771486,-4.684426601141501,123.76216970817758,699,1438,16744,-1,0,1,52.125,200.875,-871.25
3.575300148814465,-4.689369124086685,123.57498391131412,707,1436,16729,-1,-2,1,49.125,201.75,-872.75
3.5843373400584095,-4.683232667158871,123.39211689139817,706,1425,16735,1,-2,2,49.875,203.0,-872.5
3.6242479805842884,-4.639351130296944,123.2198589544685,698,1450,16731,-1,-1,2,50.5,200.375,-873.25
3.633422131050958,-4.630094224667638,123.03798862693294,698,1434,16732,-1,-1,1,50.0,203.375,-873.375
3.6593451705531317,-4.6077767587777325,122.85908397422979,692,1450,16743,-1,-2,0,49.125,201.125,-872.0
3.689784078335789,-4.596212748706825,122.68419283048193,721,1455,16752,-1,0,1,51.375,203.625,-873.375
3.681058264600101,-4.629054056582128,122.49987719703546,723,1434,16740,-2,0,2,47.625,204.75,-874.25
3.7103069534265924,-4.5740725833119775,122.33873193828236,708,1434,16755,0,0,0,48.375,197.125,-871.625
3.744145536325359,-4.556715669409556,122.16668443637701,711,1460,16732,0,0,1,50.25,203.625,-872.5
3.7617395934987727,-4.53200708299836,122.00103469734347,715,1442,16758,-2,-2,1,51.375,203.0,-869.125
3.796078066189534,-4.495919106159105,121.84355399016415,719,1452,16735,-1,-1,2,52.125,202.125,-871.75
3.798616485640741,-4.4922795025685005,121.67729808899122,709,1435,16738,0,-1,2,49.625,203.375,-873.625
3.801625274854184,-4.500803591574051,121.50412974934873,703,1448,16767,-1,-1,0,46.125,201.625,-874.125
3.815361390735217,-4.467128232426194,121.34673601029316,708,1435,16747,-2,-1,1,49.5,201.625,-872.875
3.8395524131974885,-4.4315555447165185,121.19346990593814,711,1444,16779,0,-1,2,50.75,202.25,-871.625
3.8554522119316093,-4.396266369790271,121.0421890387876,704,1440,16774,-2,-1,2,50.625,202.25,-875.375
3.864166490077152,-4.39522829147818,120.88623560840107,717,1435,16744,1,0,2,48.875,202.625,-877.25
3.892384049490238,-4.33729771797378,120.74094784161204,702,1439,16765,-1,-2,0,53.625,203.5,-872.125
3.9121350751974244,-4.289077285615994,120.59957688774423,700,1433,16754,0,1,2,53.0,202.125,-871.125
3.906980295808562,-4.320976805019372,120.43518366330375,705,1443,16769,0,0,1,48.0,203.875,-870.375
3.9061690893513443,-4.288938307612737,120.28458352565572,676,1424,16745,-1,0,1,49.25,203.375,-877.25
3.9305827571456704,-4.276206799769799,120.13646954309606,704,1450,16746,-1,-2,2,50.75,204.25,-873.375
3.937998201400457,-4.24839772998994,119.99436715539117,701,1427,16746,-2,0,2,51.375,203.75,-872.125
3.975922059881565,-4.213247826494235,119.85656236714478,707,1455,16754,0,0,1,51.25,201.0,-871.5
3.977322672923817,-4.219467761948168,119.71035333314803,709,1435,16753,-1,-1,1,48.75,201.375,-870.5
3.994616496155549,-4.224442318464423,119.56368794875334,726,1444,16728,0,-1,0,51.875,207.0,-875.0
4.018151061128383,-4.181298729725434,119.43264203383946,712,1440,16748,-1,1,1,51.5,201.625,-873.0
4.030962220504861,-4.1860229224171,119.28590846905087,696,1457,16755,0,-1,1,47.25,201.625,-871.875
4.04107445444163,-4.165979806847587,119.14586755441142,698,1441,16768,1,-1,1,51.0,205.75,-872.5
